upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Koliko brzo raste leylandii?,informacije,preporuka,leylandii,leylandii,,brz rast,,
Koje biljke cvetaju u maju?,preporuka,informacije,,,maj,,,
Koje biljke cvetaju tokom leta?,preporuka,informacije,,,leto,,,
Koje biljke su najotpornije?,preporuka,opste,,,otporna,,,
Šta je najbolje za balkon?,preporuka,preporuka,,,balkon,"balkon,terasa",,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Koje biljke su zimzelene?,preporuka,opste,,,zimzelena,,,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,,,
Koje biljke imaju mirisne cvetove?,preporuka,informacije,,,mirisna,,,
Koje biljke mogu u saksiju?,preporuka,informacije,,,saksija,,,
Koje biljke uspevaju u hladu?,preporuka,informacije,,,senka,,,
Koje biljke vole sunce?,preporuka,informacije,,,sunce,,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,,,
Koje biljke cvetaju najduže?,preporuka,"dostava,informacije",,,dugo cvetanje,,,
Koje biljke su dobre za terasu?,preporuka,informacije,,,terasa,,,
Šta da zasadim ispred kuće?,preporuka,radno_vreme,,,dvorište,,,
Koje biljke su dobre za dekoraciju?,preporuka,preporuka,,,ukrasna,,,
Šta preporučujete za malo dvorište?,preporuka,preporuka,,,mala bašta,"mala bašta,malo vode",,
Košta li tuja mnogo?,cena,informacije,tuja smaragd,tuja smaragd,,,,
Za koliko prodajete tuju?,cena,"preporuka,dostupnost",tuja smaragd,tuja smaragd,,,,
