upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Šta da posadim ispred kuće?,preporuka,preporuka,,,dvorište,,,
Koje biljke lepo mirišu?,preporuka,opste,,,mirisna,,,
Treba mi aromatična biljka,preporuka,preporuka,,,zacinska,,,
Treba mi biljka koja cveta celo leto,preporuka,preporuka,,,dugo cvetanje,"dugo cvetanje,leto",,
Koja biljka ima mnogo cvetova?,preporuka,preporuka,,,cvetanje,dugo cvetanje,,
Koje biljke su dobre za žardinjere?,preporuka,informacije,,,saksija,,,
Treba mi biljka za ulaz u kuću,preporuka,preporuka,,,ukrasna,živa ograda,,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,,laka nega,otporna,,
Šta preporučujete za malu baštu?,preporuka,preporuka,,,mala bašta,,,
Koje biljke su dobre za početnike?,preporuka,informacije,,,laka nega,,,
Treba mi nešto zeleno tokom cele godine,preporuka,"dostava,informacije,preporuka",,,zimzelena,,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,dvorište,,
Treba mi biljka za veliku saksiju,preporuka,preporuka,,,saksija,"maj,saksija",,
Koja biljka ne zahteva puno pažnje?,preporuka,preporuka,,,laka nega,puno vode,,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,,zimzelena,dugo cvetanje,,
Koliko raste lavanda?,informacije,radno_vreme,lavanda,lavanda,,,,
Koliko često se zaliva lavanda?,informacije,opste,lavanda,lavanda,,,,
Da li muškatla može u saksiju?,informacije,dostupnost,muskatla,muskatla,,,,
Koliko naraste begonija?,informacije,radno_vreme,begonija,begonija,,,,
Koliko brzo raste tuja?,informacije,opste,tuja smaragd,tuja smaragd,,,,
Kolika je visina odrasle tuje?,informacije,opste,tuja smaragd,tuja smaragd,,,,
Da li ruzmarin može da prezimi napolju?,informacije,preporuka,ruzmarin,ruzmarin,,sunce,,
Koliko raste ruzmarin?,informacije,radno_vreme,ruzmarin,ruzmarin,,,,
Da li hortenzija voli sunce?,informacije,opste,hortenzija,hortenzija,,,,
Da li ruža traži mnogo održavanja?,informacije,opste,ruža,ruža,,,,
Kada cvetaju ruže?,informacije,opste,ruža,ruža,,,,
Koliko brzo raste leylandii?,informacije,opste,leylandii,leylandii,,,,
Da li šimšir može da se oblikuje?,informacije,opste,šimšir,šimšir,,,,
Koje biljke cvetaju u maju?,preporuka,opste,,,maj,,,
Koje biljke cvetaju tokom leta?,preporuka,opste,,,leto,,,
Koje biljke su najotpornije?,preporuka,opste,,,otporna,,,
Šta je najbolje za balkon?,preporuka,preporuka,,,balkon,"balkon,polusenka,terasa",,
Koje biljke podnose sušu?,preporuka,opste,,,malo vode,,,
Koje biljke rastu brzo?,preporuka,opste,,,brz rast,,,
Koje biljke su zimzelene?,preporuka,opste,,,zimzelena,,,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,,,
Koje biljke imaju mirisne cvetove?,preporuka,opste,,,mirisna,,,
Koje biljke mogu u saksiju?,preporuka,kontakt,,,saksija,,,
Koje biljke uspevaju u hladu?,preporuka,opste,,,senka,,,
Koje biljke vole sunce?,preporuka,opste,,,sunce,,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,,,
Koje biljke cvetaju najduže?,preporuka,opste,,,dugo cvetanje,,,
Koje biljke su dobre za terasu?,preporuka,opste,,,terasa,,,
Šta da zasadim ispred kuće?,preporuka,lokacija,,,dvorište,,,
Koje biljke su dobre za dekoraciju?,preporuka,informacije,,,ukrasna,,,
Košta li muškatla puno?,cena,dostupnost,muskatla,muskatla,,,,
Za koliko prodajete tuju?,cena,dostupnost,tuja smaragd,tuja smaragd,,,,
