upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,"dugo cvetanje,dvorište",,
Koja biljka podnosi vetar?,preporuka,preporuka,,timijan,otporna,,,
Koja biljka ne zahteva puno pažnje?,preporuka,informacije,,origano,laka nega,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,hrizantema,zimzelena,dugo cvetanje,,
Da li je lavanda dobra za pčele?,informacije,informacije,lavanda,lavanda,,medonosna,,
Koliko raste lavanda?,informacije,radno_vreme,lavanda,lavanda,,,,
Da li lavanda voli sunce?,informacije,informacije,lavanda,lavanda,,sunce,,
Da li muškatla može u saksiju?,informacije,preporuka,muskatla,muskatla,,saksija,,
Da li petunija cveta celo leto?,informacije,informacije,petunija,petunija,,cvetanje,,
Koliko vode traži petunija?,informacije,informacije,petunija,petunija,,malo vode,,
Da li begonija podnosi senku?,informacije,informacije,begonija,begonija,,senka,,
Koliko brzo raste tuja?,informacije,radno_vreme,tuja smaragd,tuja smaragd,,brz rast,,
Da li ruzmarin može da prezimi napolju?,informacije,preporuka,ruzmarin,ruzmarin,,puno vode,,
Koliko raste ruzmarin?,informacije,radno_vreme,ruzmarin,ruzmarin,,,,
Da li hortenzija voli sunce?,informacije,opste,hortenzija,hortenzija,,sunce,,
Koliko brzo raste leylandii?,informacije,radno_vreme,leylandii,leylandii,,brz rast,,
Koje biljke cvetaju u maju?,preporuka,informacije,,hrizantema,maj,maj,,
Koje biljke cvetaju tokom leta?,preporuka,informacije,,,leto,cvetanje,,
Koje biljke su najprodavanije?,opste,informacije,,,,,,
Koje biljke su najotpornije?,preporuka,opste,,,otporna,otporna,,
Koje biljke podnose sušu?,preporuka,informacije,,hrizantema,malo vode,malo vode,,
Koje biljke su zimzelene?,preporuka,opste,,,zimzelena,zimzelena,,
Koje biljke imaju mirisne cvetove?,preporuka,informacije,,,mirisna,mirisna,,
Koje biljke mogu u saksiju?,preporuka,informacije,,surfinija,saksija,saksija,,
Koje biljke uspevaju u hladu?,preporuka,informacije,,,senka,senka,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,zacinska,,
Koje biljke cvetaju najduže?,preporuka,informacije,,hortenzija,dugo cvetanje,,,
Šta preporučujete za malo dvorište?,preporuka,preporuka,,,mala bašta,"dvorište,malo vode",,
Pošto su muškatle?,cena,dostupnost,muskatla,muskatla,,,,
Pošto su tuje?,cena,preporuka,tuja smaragd,,,"terasa,zimzelena,živa ograda",,
