upit,ocekivana_namera,llm_namera,ocekivana_biljka,llm_biljka,ocekivani_uslovi,llm_uslovi,ocekivana_lokacija,llm_lokacija
Nemam direktno sunce na balkonu,preporuka,opste,,,"balkon,senka",,,
Koja biljka dobro raste pored kuće gde nema mnogo sunca?,preporuka,preporuka,,,senka,"sunce,zimzelena",,
Treba mi nešto za severnu stranu kuće,preporuka,"informacije,preporuka",,,senka,,,
Treba mi zimzelena biljka za ogradu,preporuka,"informacije,preporuka",,,"zimzelena,živa ograda",,,
Koja biljka brzo raste za ogradu?,preporuka,preporuka,,,živa ograda,brz rast,,
Treba mi ukrasna biljka za dvorište,preporuka,preporuka,,,ukrasna,"dvorište,ukrasna",,
Šta da posadim ispred kuće?,preporuka,"informacije,preporuka",,,dvorište,,,
Treba mi aromatična biljka,preporuka,preporuka,,,zacinska,,,
Treba mi biljka koja cveta celo leto,preporuka,preporuka,,,dugo cvetanje,leto,,
Koja biljka ima mnogo cvetova?,preporuka,preporuka,,,cvetanje,"dvorište,malo vode,puno vode,saksija",,
Koje biljke su dobre za žardinjere?,preporuka,preporuka,,,saksija,,,
Treba mi biljka za ulaz u kuću,preporuka,"informacije,preporuka",,,ukrasna,,,
Šta preporučujete za vikendicu?,preporuka,preporuka,,,malo vode,,,
Koja biljka je najlakša za održavanje?,preporuka,preporuka,,,laka nega,,,
Koje biljke su dobre za početnike?,preporuka,preporuka,,,laka nega,,,
Treba mi nešto zeleno tokom cele godine,preporuka,"informacije,preporuka",,,zimzelena,,,
Koja biljka ostaje zelena zimi?,preporuka,preporuka,,,zimzelena,,,
Šta preporučujete za osunčano dvorište?,preporuka,preporuka,,,sunce,dvorište,,
Koja biljka ne zahteva puno pažnje?,preporuka,preporuka,,,laka nega,,,
Šta preporučujete za uređivanje dvorišta?,preporuka,preporuka,,,dvorište,,,
Koja biljka lepo izgleda tokom cele godine?,preporuka,preporuka,,,zimzelena,dugo cvetanje,,
Koliko naraste begonija?,informacije,preporuka,begonija,begonija,,,,
Koliko brzo raste tuja?,informacije,preporuka,tuja smaragd,tuja smaragd,,brz rast,,
Kolika je visina odrasle tuje?,informacije,opste,tuja smaragd,tuja smaragd,,,,
Da li ruzmarin može da prezimi napolju?,informacije,preporuka,ruzmarin,ruzmarin,,sunce,,
Da li hortenzija voli sunce?,informacije,opste,hortenzija,hortenzija,,,,
Koliko brzo raste leylandii?,informacije,preporuka,leylandii,leylandii,,brz rast,,
Da li šimšir može da se oblikuje?,informacije,preporuka,šimšir,šimšir,,,,
Koje biljke cvetaju u maju?,preporuka,informacije,,,maj,,,
Koje biljke cvetaju tokom leta?,preporuka,informacije,,,leto,,,
Koje biljke su najotpornije?,preporuka,opste,,,otporna,,,
Koje biljke podnose sušu?,preporuka,informacije,,,malo vode,,,
Koje biljke su zimzelene?,preporuka,opste,,,zimzelena,,,
Šta preporučujete za ogradu?,preporuka,preporuka,,,živa ograda,,,
Koje biljke imaju mirisne cvetove?,preporuka,informacije,,,mirisna,,,
Koje biljke mogu u saksiju?,preporuka,informacije,,,saksija,,,
Koje biljke uspevaju u hladu?,preporuka,informacije,,,senka,,,
Koje biljke vole sunce?,preporuka,opste,,,sunce,,,
Šta preporučujete početnicima?,preporuka,preporuka,,,laka nega,,,
Koje biljke cvetaju najduže?,preporuka,opste,,,dugo cvetanje,,,
Šta da zasadim ispred kuće?,preporuka,radno_vreme,,,dvorište,,,
Koje biljke su dobre za dekoraciju?,preporuka,preporuka,,,ukrasna,,,
Košta li mnogo lavanda?,cena,preporuka,lavanda,lavanda,,,,
Za koliko se prodaje lavanda?,cena,dostupnost,lavanda,lavanda,,,,
Košta li tuja mnogo?,cena,informacije,tuja smaragd,tuja smaragd,,,,
Za koliko prodajete tuju?,cena,dostupnost,tuja smaragd,tuja smaragd,,,,
